date,coin,search_interest
2024-12-02,BITCOIN,37
2024-12-03,BITCOIN,35
2024-12-04,BITCOIN,35
2024-12-05,BITCOIN,100
2024-12-06,BITCOIN,61
2024-12-07,BITCOIN,44
2024-12-08,BITCOIN,38
2024-12-09,BITCOIN,42
2024-12-10,BITCOIN,42
2024-12-11,BITCOIN,39
2024-12-12,BITCOIN,39
2024-12-13,BITCOIN,33
2024-12-14,BITCOIN,30
2024-12-15,BITCOIN,32
2024-12-16,BITCOIN,49
2024-12-17,BITCOIN,46
2024-12-18,BITCOIN,43
2024-12-19,BITCOIN,48
2024-12-20,BITCOIN,46
2024-12-21,BITCOIN,30
2024-12-22,BITCOIN,29
2024-12-23,BITCOIN,34
2024-12-24,BITCOIN,34
2024-12-25,BITCOIN,30
2024-12-26,BITCOIN,34
2024-12-27,BITCOIN,33
2024-12-28,BITCOIN,26
2024-12-29,BITCOIN,26
2024-12-30,BITCOIN,34
2024-12-31,BITCOIN,30
2025-01-01,BITCOIN,24
2025-01-02,BITCOIN,30
2025-01-03,BITCOIN,29
2025-01-04,BITCOIN,23
2025-01-05,BITCOIN,24
2025-01-06,BITCOIN,30
2025-01-07,BITCOIN,32
2025-01-08,BITCOIN,29
2025-01-09,BITCOIN,30
2025-01-10,BITCOIN,29
2025-01-11,BITCOIN,21
2025-01-12,BITCOIN,20
2025-01-13,BITCOIN,29
2025-01-14,BITCOIN,27
2025-01-15,BITCOIN,30
2025-01-16,BITCOIN,31
2025-01-17,BITCOIN,35
2025-01-18,BITCOIN,30
2025-01-19,BITCOIN,32
2025-01-20,BITCOIN,51
2025-01-21,BITCOIN,45
2025-01-22,BITCOIN,39
2025-01-23,BITCOIN,43
2025-01-24,BITCOIN,38
2025-01-25,BITCOIN,29
2025-01-26,BITCOIN,26
2025-01-27,BITCOIN,36
2025-01-28,BITCOIN,31
2025-01-29,BITCOIN,28
2025-01-30,BITCOIN,30
2025-01-31,BITCOIN,26
2025-02-01,BITCOIN,22
2025-02-02,BITCOIN,31
2025-02-03,BITCOIN,47
2025-02-04,BITCOIN,32
2025-02-05,BITCOIN,29
2025-02-06,BITCOIN,28
2025-02-07,BITCOIN,26
2025-02-08,BITCOIN,21
2025-02-09,BITCOIN,21
2025-02-10,BITCOIN,21
2025-02-11,BITCOIN,22
2025-02-12,BITCOIN,22
2025-02-13,BITCOIN,21
2025-02-14,BITCOIN,23
2025-02-15,BITCOIN,17
2025-02-16,BITCOIN,17
2025-02-17,BITCOIN,20
2025-02-18,BITCOIN,23
2025-02-19,BITCOIN,21
2025-02-20,BITCOIN,24
2025-02-21,BITCOIN,23
2025-02-22,BITCOIN,17
2025-02-23,BITCOIN,16
2025-02-24,BITCOIN,23
2025-02-25,BITCOIN,43
2025-02-26,BITCOIN,37
2025-02-27,BITCOIN,36
2025-02-28,BITCOIN,42
2025-03-01,BITCOIN,26
2025-03-02,BITCOIN,74
2025-03-03,BITCOIN,95
2025-03-04,BITCOIN,89
2025-03-05,BITCOIN,68
2025-03-06,BITCOIN,66
2025-03-07,BITCOIN,91
2025-03-08,BITCOIN,59
2025-03-09,BITCOIN,58
2025-03-10,BITCOIN,90
2025-03-11,BITCOIN,91
2025-03-12,BITCOIN,68
2025-03-13,BITCOIN,62
2025-03-14,BITCOIN,55
2025-03-15,BITCOIN,42
2025-03-16,BITCOIN,52
2025-03-17,BITCOIN,50
2025-03-18,BITCOIN,49
2025-03-19,BITCOIN,51
2025-03-20,BITCOIN,47
2025-03-21,BITCOIN,37
2025-03-22,BITCOIN,33
2025-03-23,BITCOIN,33
2025-03-24,BITCOIN,48
2025-03-25,BITCOIN,47
2025-03-26,BITCOIN,47
2025-03-27,BITCOIN,39
2025-03-28,BITCOIN,44
2025-03-29,BITCOIN,33
2025-03-30,BITCOIN,35
2025-03-31,BITCOIN,49
2025-04-01,BITCOIN,40
2025-04-02,BITCOIN,44
2025-04-03,BITCOIN,64
2025-04-04,BITCOIN,66
2025-04-05,BITCOIN,44
2025-04-06,BITCOIN,57
2025-04-07,BITCOIN,85
2025-04-08,BITCOIN,65
2025-04-09,BITCOIN,73
2025-04-10,BITCOIN,56
2025-04-11,BITCOIN,53
2025-04-12,BITCOIN,39
2025-04-13,BITCOIN,39
2025-04-14,BITCOIN,47
2025-04-15,BITCOIN,42
2025-04-16,BITCOIN,40
2025-04-17,BITCOIN,38
2025-04-18,BITCOIN,32
2025-04-19,BITCOIN,29
2025-04-20,BITCOIN,32
2025-04-21,BITCOIN,54
2025-04-22,BITCOIN,56
2025-04-23,BITCOIN,58
2025-04-24,BITCOIN,48
2025-04-25,BITCOIN,43
2025-04-26,BITCOIN,32
2025-04-27,BITCOIN,34
2025-04-28,BITCOIN,44
2025-04-29,BITCOIN,43
2025-04-30,BITCOIN,37
2025-05-01,BITCOIN,45
2025-05-02,BITCOIN,42
2025-05-03,BITCOIN,32
2025-05-04,BITCOIN,33
2025-05-05,BITCOIN,39
2025-05-06,BITCOIN,39
2025-05-07,BITCOIN,39
2025-05-08,BITCOIN,66
2025-05-09,BITCOIN,63
2025-05-10,BITCOIN,46
2025-05-11,BITCOIN,51
2025-05-12,BITCOIN,66
2025-05-13,BITCOIN,59
2025-05-14,BITCOIN,48
2025-05-15,BITCOIN,42
2025-05-16,BITCOIN,41
2025-05-17,BITCOIN,28
2025-05-18,BITCOIN,38
2025-05-19,BITCOIN,53
2025-05-20,BITCOIN,54
2025-05-21,BITCOIN,75
2025-05-22,BITCOIN,100
2025-05-23,BITCOIN,65
2025-05-24,BITCOIN,47
2025-05-25,BITCOIN,44
2025-05-26,BITCOIN,52
2025-05-27,BITCOIN,68
2025-05-28,BITCOIN,74
2025-05-29,BITCOIN,59
2025-05-30,BITCOIN,53
2025-05-31,BITCOIN,36
2025-06-01,BITCOIN,32
2025-06-02,BITCOIN,39
2025-06-03,BITCOIN,45
2025-06-04,BITCOIN,37
2025-06-05,BITCOIN,44
2025-06-06,BITCOIN,42
2025-06-07,BITCOIN,32
2025-06-08,BITCOIN,33
2025-06-09,BITCOIN,48
2025-06-10,BITCOIN,44
2025-06-11,BITCOIN,44
2025-06-12,BITCOIN,42
2025-06-13,BITCOIN,46
2025-06-14,BITCOIN,32
2025-06-15,BITCOIN,33
2025-06-16,BITCOIN,42
2025-06-17,BITCOIN,42
2025-06-18,BITCOIN,38
2025-06-19,BITCOIN,34
2025-06-20,BITCOIN,35
2025-06-21,BITCOIN,31
2025-06-22,BITCOIN,51
2025-06-23,BITCOIN,48
2025-06-24,BITCOIN,41
2025-06-25,BITCOIN,42
2025-06-26,BITCOIN,39
2025-06-27,BITCOIN,40
2025-06-28,BITCOIN,29
2025-06-29,BITCOIN,34
2025-06-30,BITCOIN,43
2025-07-01,BITCOIN,38
2025-07-02,BITCOIN,43
2025-07-03,BITCOIN,44
2025-07-04,BITCOIN,37
2025-07-05,BITCOIN,35
2025-07-06,BITCOIN,34
2025-07-07,BITCOIN,42
2025-07-08,BITCOIN,40
2025-07-09,BITCOIN,48
2025-07-10,BITCOIN,68
2025-07-11,BITCOIN,93
2025-07-12,BITCOIN,55
2025-07-13,BITCOIN,56
2025-07-14,BITCOIN,100
2025-07-15,BITCOIN,75
2025-07-16,BITCOIN,70
2025-07-17,BITCOIN,85
2025-07-18,BITCOIN,77
2025-07-19,BITCOIN,76
2025-07-20,BITCOIN,75
2025-07-21,BITCOIN,80
2025-07-22,BITCOIN,67
2025-07-23,BITCOIN,62
2025-07-24,BITCOIN,59
2025-07-25,BITCOIN,65
2025-07-26,BITCOIN,53
2025-07-27,BITCOIN,60
2025-07-28,BITCOIN,62
2025-07-29,BITCOIN,69
2025-07-30,BITCOIN,82
2025-07-31,BITCOIN,78
2025-08-01,BITCOIN,75
2025-08-02,BITCOIN,40
2025-08-03,BITCOIN,39
2025-08-04,BITCOIN,51
2025-08-05,BITCOIN,53
2025-08-06,BITCOIN,54
2025-08-07,BITCOIN,53
2025-08-08,BITCOIN,54
2025-08-09,BITCOIN,48
2025-08-10,BITCOIN,55
2025-08-11,BITCOIN,63
2025-08-12,BITCOIN,49
2025-08-13,BITCOIN,56
2025-08-14,BITCOIN,62
2025-08-15,BITCOIN,51
2025-08-16,BITCOIN,35
2025-08-17,BITCOIN,35
2025-08-18,BITCOIN,46
2025-08-19,BITCOIN,48
2025-08-20,BITCOIN,46
2025-08-21,BITCOIN,42
2025-08-22,BITCOIN,46
2025-08-23,BITCOIN,33
2025-08-24,BITCOIN,35
2025-08-25,BITCOIN,49
2025-08-26,BITCOIN,45
2025-08-27,BITCOIN,41
2025-08-28,BITCOIN,38
2025-08-29,BITCOIN,35
2025-08-30,BITCOIN,26
2025-08-31,BITCOIN,25
2025-09-01,BITCOIN,28
2025-09-02,BITCOIN,34
2025-09-03,BITCOIN,32
2025-09-04,BITCOIN,32
2025-09-05,BITCOIN,30
2025-09-06,BITCOIN,22
2025-09-07,BITCOIN,23
2025-09-08,BITCOIN,30
2025-09-09,BITCOIN,28
2025-09-10,BITCOIN,28
2025-09-11,BITCOIN,23
2025-09-12,BITCOIN,25
2025-09-13,BITCOIN,22
2025-09-14,BITCOIN,23
2025-09-15,BITCOIN,26
2025-09-16,BITCOIN,29
2025-09-17,BITCOIN,33
2025-09-18,BITCOIN,34
2025-09-19,BITCOIN,35
2025-09-20,BITCOIN,26
2025-09-21,BITCOIN,23
2025-09-22,BITCOIN,37
2025-09-23,BITCOIN,34
2025-09-24,BITCOIN,31
2025-09-25,BITCOIN,38
2025-09-26,BITCOIN,35
2025-09-27,BITCOIN,26
2025-09-28,BITCOIN,24
2025-09-29,BITCOIN,34
2025-09-30,BITCOIN,30
2025-10-01,BITCOIN,42
2025-10-02,BITCOIN,42
2025-10-03,BITCOIN,42
2025-10-04,BITCOIN,28
2025-10-05,BITCOIN,37
2025-10-06,BITCOIN,44
2025-10-07,BITCOIN,45
2025-10-08,BITCOIN,40
2025-10-09,BITCOIN,38
2025-10-10,BITCOIN,45
2025-10-11,BITCOIN,64
2025-10-12,BITCOIN,62
2025-10-13,BITCOIN,54
2025-10-14,BITCOIN,48
2025-10-15,BITCOIN,43
2025-10-16,BITCOIN,46
2025-10-17,BITCOIN,53
2025-10-18,BITCOIN,37
2025-10-19,BITCOIN,34
2025-10-20,BITCOIN,41
2025-10-21,BITCOIN,41
2025-10-22,BITCOIN,40
2025-10-23,BITCOIN,35
2025-10-24,BITCOIN,35
2025-10-25,BITCOIN,26
2025-10-26,BITCOIN,29
2025-10-27,BITCOIN,36
2025-10-28,BITCOIN,34
2025-10-29,BITCOIN,37
2025-10-30,BITCOIN,44
2025-10-31,BITCOIN,41
2025-11-01,BITCOIN,36
2025-11-02,BITCOIN,30
2025-11-03,BITCOIN,44
2025-11-04,BITCOIN,67
2025-11-05,BITCOIN,57
2025-11-06,BITCOIN,50
2025-11-07,BITCOIN,47
2025-11-08,BITCOIN,36
2025-11-09,BITCOIN,36
2025-11-10,BITCOIN,43
2025-11-11,BITCOIN,42
2025-11-12,BITCOIN,42
2025-11-13,BITCOIN,52
2025-11-14,BITCOIN,68
2025-11-15,BITCOIN,48
2025-11-16,BITCOIN,50
2025-11-17,BITCOIN,63
2025-11-18,BITCOIN,81
2025-11-19,BITCOIN,71
2025-11-20,BITCOIN,77
2025-11-21,BITCOIN,100
2025-11-22,BITCOIN,65
2025-11-23,BITCOIN,53
2025-11-24,BITCOIN,63
2025-11-25,BITCOIN,55
2025-11-26,BITCOIN,50
